Plus Sign<br/><br/>What does this glyph look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Reciprocal<br/><br/>What does this glyph do?,"Y must be a numeric array.  R is numeric.  R is the reciprocal of Y; that is 1÷Y.  If ⎕DIV=0, ÷0 results in a DOMAIN ERROR.  If ⎕DIV=1, ÷0 returns 0. <br/> ⎕DIV is an implicit argument of Reciprocal. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reciprocal.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y must be a numeric array.  R is numeric.  R is the reciprocal of Y; that is 1÷Y.  If ⎕DIV=0, ÷0 results in a DOMAIN ERROR.  If ⎕DIV=1, ÷0 returns 0. <br/> ⎕DIV is an implicit argument of Reciprocal.<br/><br/>What is the name of this glyph?",Reciprocal <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reciprocal.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Divided By<br/><br/>What does this glyph look like?,÷ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a>,Name->Sym
"Y must be a numeric array.  X must be a numeric array.  R is the numeric array resulting from X divided by Y.  System variable ⎕DIV is an implicit argument of Divide. <br/> If ⎕DIV=0 and Y=0 then if X=0, the result of X÷Y is 1; if X≠0 then X÷Y is a DOMAIN ERROR. <br/> If ⎕DIV=1 and Y=0, the result of X÷Y is 0 for all values of X.<br/><br/>What does this glyph look like?",÷ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Divide.htm'>Take me to primitive function documentation</a>,Docs->Sym
Divide<br/><br/>What does this glyph do?,"Y must be a numeric array.  X must be a numeric array.  R is the numeric array resulting from X divided by Y.  System variable ⎕DIV is an implicit argument of Divide. <br/> If ⎕DIV=0 and Y=0 then if X=0, the result of X÷Y is 1; if X≠0 then X÷Y is a DOMAIN ERROR. <br/> If ⎕DIV=1 and Y=0, the result of X÷Y is 0 for all values of X. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Divide.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y must be a numeric array.  X must be a numeric array.  R is the numeric array resulting from X divided by Y.  System variable ⎕DIV is an implicit argument of Divide. <br/> If ⎕DIV=0 and Y=0 then if X=0, the result of X÷Y is 1; if X≠0 then X÷Y is a DOMAIN ERROR. <br/> If ⎕DIV=1 and Y=0, the result of X÷Y is 0 for all values of X.<br/><br/>What is the name of this glyph?",Divide <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Divide.htm'>Take me to primitive function documentation</a>,Docs->Name
÷<br/><br/>What does this glyph do?,"Y must be a numeric array.  X must be a numeric array.  R is the numeric array resulting from X divided by Y.  System variable ⎕DIV is an implicit argument of Divide. <br/> If ⎕DIV=0 and Y=0 then if X=0, the result of X÷Y is 1; if X≠0 then X÷Y is a DOMAIN ERROR. <br/> If ⎕DIV=1 and Y=0, the result of X÷Y is 0 for all values of X. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reciprocal.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Divide.htm'>Take me to Link</a>",Sym->Docs
÷<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Divide Sign <br/> Monadic: Reciprocal <br/> Dyadic: Divided By <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a>,Sym->Name
Stile;Vertical Bar<br/><br/>What does this glyph look like?,| <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Magnitude<br/><br/>What does this glyph look like?,| <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a>,Name->Sym
Y may be any numeric array. R is numeric composed of the absolute (unsigned) values of Y. <br/> Note that the magnitude of a complex number  is defined to be  <br/> ⎕IO is an implicit argument of magnitude.<br/><br/>What does this glyph look like?,| <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Magnitude.htm'>Take me to primitive function documentation</a>,Docs->Sym
Magnitude<br/><br/>What does this glyph do?,Y may be any numeric array. R is numeric composed of the absolute (unsigned) values of Y. <br/> Note that the magnitude of a complex number  is defined to be  <br/> ⎕IO is an implicit argument of magnitude. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Magnitude.htm'>Take me to primitive function documentation</a>,Name->Docs
Y may be any numeric array. R is numeric composed of the absolute (unsigned) values of Y. <br/> Note that the magnitude of a complex number  is defined to be  <br/> ⎕IO is an implicit argument of magnitude.<br/><br/>What is the name of this glyph?,Magnitude <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Magnitude.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Residue;Modulus<br/><br/>What does this glyph look like?,| <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any numeric array.  X may be any numeric array. <br/> For positive arguments, R is the remainder when Y is divided by X. If X=0, R is Y. <br/> For other argument values, R is given by the expression Y-X×⌊Y÷X+0=X. This expression also applies when X and/or Y are complex if the simple ⌊ is replaced by the CpxFloor function. See Complex Floor. <br/> ⎕CT and ⎕DCT are  implicit arguments of Residue. <br/> Note that the ASCII Broken Bar (⎕UCS 166, U+00A6) is not interpreted as Residue.<br/><br/>What does this glyph look like?",| <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Residue.htm'>Take me to primitive function documentation</a>,Docs->Sym
Residue<br/><br/>What does this glyph do?,"Y may be any numeric array.  X may be any numeric array. <br/> For positive arguments, R is the remainder when Y is divided by X. If X=0, R is Y. <br/> For other argument values, R is given by the expression Y-X×⌊Y÷X+0=X. This expression also applies when X and/or Y are complex if the simple ⌊ is replaced by the CpxFloor function. See Complex Floor. <br/> ⎕CT and ⎕DCT are  implicit arguments of Residue. <br/> Note that the ASCII Broken Bar (⎕UCS 166, U+00A6) is not interpreted as Residue. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Residue.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any numeric array.  X may be any numeric array. <br/> For positive arguments, R is the remainder when Y is divided by X. If X=0, R is Y. <br/> For other argument values, R is given by the expression Y-X×⌊Y÷X+0=X. This expression also applies when X and/or Y are complex if the simple ⌊ is replaced by the CpxFloor function. See Complex Floor. <br/> ⎕CT and ⎕DCT are  implicit arguments of Residue. <br/> Note that the ASCII Broken Bar (⎕UCS 166, U+00A6) is not interpreted as Residue.<br/><br/>What is the name of this glyph?",Residue <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Residue.htm'>Take me to primitive function documentation</a>,Docs->Name
|<br/><br/>What does this glyph do?,"Y may be any numeric array.  X may be any numeric array. <br/> For positive arguments, R is the remainder when Y is divided by X. If X=0, R is Y. <br/> For other argument values, R is given by the expression Y-X×⌊Y÷X+0=X. This expression also applies when X and/or Y are complex if the simple ⌊ is replaced by the CpxFloor function. See Complex Floor. <br/> ⎕CT and ⎕DCT are  implicit arguments of Residue. <br/> Note that the ASCII Broken Bar (⎕UCS 166, U+00A6) is not interpreted as Residue. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Magnitude.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Residue.htm'>Take me to Link</a>",Sym->Docs
|<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Stile;Vertical Bar <br/> Monadic: Magnitude <br/> Dyadic: Residue;Modulus <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to symbol documentation</a>,Sym->Name
Upstile<br/><br/>What does this glyph look like?,⌈ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Ceiling<br/><br/>What does this glyph look like?,⌈ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a>,Name->Sym
"Ceiling is defined in terms of Floor as ⌈Y←→-⌊-Y <br/> Y must be numeric. <br/> If an element of Y is real, the corresponding element of R is the least integer greater than or equal to the value of Y.  <br/> If an element of Y is complex, the corresponding element of R depends on the relationship between the real and imaginary parts of the numbers in Y. <br/> For further explanation, see Floor. <br/> ⎕CT is an implied argument of Ceiling. <br/><br/>What does this glyph look like?",⌈ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Ceiling.htm'>Take me to primitive function documentation</a>,Docs->Sym
Ceiling<br/><br/>What does this glyph do?,"Ceiling is defined in terms of Floor as ⌈Y←→-⌊-Y <br/> Y must be numeric. <br/> If an element of Y is real, the corresponding element of R is the least integer greater than or equal to the value of Y.  <br/> If an element of Y is complex, the corresponding element of R depends on the relationship between the real and imaginary parts of the numbers in Y. <br/> For further explanation, see Floor. <br/> ⎕CT is an implied argument of Ceiling.  <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Ceiling.htm'>Take me to primitive function documentation</a>",Name->Docs
"Ceiling is defined in terms of Floor as ⌈Y←→-⌊-Y <br/> Y must be numeric. <br/> If an element of Y is real, the corresponding element of R is the least integer greater than or equal to the value of Y.  <br/> If an element of Y is complex, the corresponding element of R depends on the relationship between the real and imaginary parts of the numbers in Y. <br/> For further explanation, see Floor. <br/> ⎕CT is an implied argument of Ceiling. <br/><br/>What is the name of this glyph?",Ceiling <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Ceiling.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Maximum<br/><br/>What does this glyph look like?,⌈ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a>,Name->Sym
Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the larger of the numbers X and Y.<br/><br/>What does this glyph look like?,⌈ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Maximum.htm'>Take me to primitive function documentation</a>,Docs->Sym
Maximum<br/><br/>What does this glyph do?,Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the larger of the numbers X and Y. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Maximum.htm'>Take me to primitive function documentation</a>,Name->Docs
Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the larger of the numbers X and Y.<br/><br/>What is the name of this glyph?,Maximum <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Maximum.htm'>Take me to primitive function documentation</a>,Docs->Name
⌈<br/><br/>What does this glyph do?,Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the larger of the numbers X and Y. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Ceiling.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Maximum.htm'>Take me to Link</a>,Sym->Docs
⌈<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Upstile <br/> Monadic: Ceiling <br/> Dyadic: Maximum <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Upstile.htm'>Take me to symbol documentation</a>,Sym->Name
