Plus Sign,+
"Y must be a numeric array.  R is numeric.  R is the reciprocal of Y; that is 1÷Y.  If ⎕DIV=0, ÷0 results in a DOMAIN ERROR.  If ⎕DIV=1, ÷0 returns 0.<br/>⎕DIV is an implicit argument of Reciprocal.",÷
÷,"Y must be a numeric array.  R is numeric.  R is the reciprocal of Y; that is 1÷Y.  If ⎕DIV=0, ÷0 results in a DOMAIN ERROR.  If ⎕DIV=1, ÷0 returns 0.<br/>⎕DIV is an implicit argument of Reciprocal."
Reciprocal,"Y must be a numeric array.  R is numeric.  R is the reciprocal of Y; that is 1÷Y.  If ⎕DIV=0, ÷0 results in a DOMAIN ERROR.  If ⎕DIV=1, ÷0 returns 0.<br/>⎕DIV is an implicit argument of Reciprocal."
"Y must be a numeric array.  R is numeric.  R is the reciprocal of Y; that is 1÷Y.  If ⎕DIV=0, ÷0 results in a DOMAIN ERROR.  If ⎕DIV=1, ÷0 returns 0.<br/>⎕DIV is an implicit argument of Reciprocal.",Reciprocal
Dyadic: Divided By,÷
"Y must be a numeric array.  X must be a numeric array.  R is the numeric array resulting from X divided by Y.  System variable ⎕DIV is an implicit argument of Divide.<br/>If ⎕DIV=0 and Y=0 then if X=0, the result of X÷Y is 1; if X≠0 then X÷Y is a DOMAIN ERROR.<br/>If ⎕DIV=1 and Y=0, the result of X÷Y is 0 for all values of X.",÷
÷,"Y must be a numeric array.  X must be a numeric array.  R is the numeric array resulting from X divided by Y.  System variable ⎕DIV is an implicit argument of Divide.<br/>If ⎕DIV=0 and Y=0 then if X=0, the result of X÷Y is 1; if X≠0 then X÷Y is a DOMAIN ERROR.<br/>If ⎕DIV=1 and Y=0, the result of X÷Y is 0 for all values of X."
Divide,"Y must be a numeric array.  X must be a numeric array.  R is the numeric array resulting from X divided by Y.  System variable ⎕DIV is an implicit argument of Divide.<br/>If ⎕DIV=0 and Y=0 then if X=0, the result of X÷Y is 1; if X≠0 then X÷Y is a DOMAIN ERROR.<br/>If ⎕DIV=1 and Y=0, the result of X÷Y is 0 for all values of X."
"Y must be a numeric array.  X must be a numeric array.  R is the numeric array resulting from X divided by Y.  System variable ⎕DIV is an implicit argument of Divide.<br/>If ⎕DIV=0 and Y=0 then if X=0, the result of X÷Y is 1; if X≠0 then X÷Y is a DOMAIN ERROR.<br/>If ⎕DIV=1 and Y=0, the result of X÷Y is 0 for all values of X.",Divide
÷,Divide Sign<br/>Monadic: Reciprocal<br/>Dyadic: Divided By
Stile;Vertical Bar,|
Monadic: Magnitude,|
Y may be any numeric array. R is numeric composed of the absolute (unsigned) values of Y.<br/>Note that the magnitude of a complex number  is defined to be <br/>⎕IO is an implicit argument of magnitude.,|
|,Y may be any numeric array. R is numeric composed of the absolute (unsigned) values of Y.<br/>Note that the magnitude of a complex number  is defined to be <br/>⎕IO is an implicit argument of magnitude.
Magnitude,Y may be any numeric array. R is numeric composed of the absolute (unsigned) values of Y.<br/>Note that the magnitude of a complex number  is defined to be <br/>⎕IO is an implicit argument of magnitude.
Y may be any numeric array. R is numeric composed of the absolute (unsigned) values of Y.<br/>Note that the magnitude of a complex number  is defined to be <br/>⎕IO is an implicit argument of magnitude.,Magnitude
Dyadic: Residue;Modulus,|
"Y may be any numeric array.  X may be any numeric array.<br/>For positive arguments, R is the remainder when Y is divided by X. If X=0, R is Y.<br/>For other argument values, R is given by the expression Y-X×⌊Y÷X+0=X. This expression also applies when X and/or Y are complex if the simple ⌊ is replaced by the CpxFloor function. See Complex Floor.<br/>⎕CT and ⎕DCT are  implicit arguments of Residue.<br/>Note that the ASCII Broken Bar (⎕UCS 166, U+00A6) is not interpreted as Residue.",|
|,"Y may be any numeric array.  X may be any numeric array.<br/>For positive arguments, R is the remainder when Y is divided by X. If X=0, R is Y.<br/>For other argument values, R is given by the expression Y-X×⌊Y÷X+0=X. This expression also applies when X and/or Y are complex if the simple ⌊ is replaced by the CpxFloor function. See Complex Floor.<br/>⎕CT and ⎕DCT are  implicit arguments of Residue.<br/>Note that the ASCII Broken Bar (⎕UCS 166, U+00A6) is not interpreted as Residue."
Residue,"Y may be any numeric array.  X may be any numeric array.<br/>For positive arguments, R is the remainder when Y is divided by X. If X=0, R is Y.<br/>For other argument values, R is given by the expression Y-X×⌊Y÷X+0=X. This expression also applies when X and/or Y are complex if the simple ⌊ is replaced by the CpxFloor function. See Complex Floor.<br/>⎕CT and ⎕DCT are  implicit arguments of Residue.<br/>Note that the ASCII Broken Bar (⎕UCS 166, U+00A6) is not interpreted as Residue."
"Y may be any numeric array.  X may be any numeric array.<br/>For positive arguments, R is the remainder when Y is divided by X. If X=0, R is Y.<br/>For other argument values, R is given by the expression Y-X×⌊Y÷X+0=X. This expression also applies when X and/or Y are complex if the simple ⌊ is replaced by the CpxFloor function. See Complex Floor.<br/>⎕CT and ⎕DCT are  implicit arguments of Residue.<br/>Note that the ASCII Broken Bar (⎕UCS 166, U+00A6) is not interpreted as Residue.",Residue
|,Stile;Vertical Bar<br/>Monadic: Magnitude<br/>Dyadic: Residue;Modulus
Upstile,⌈
Monadic: Ceiling,⌈
"Ceiling is defined in terms of Floor as ⌈Y←→-⌊-Y<br/>Y must be numeric.<br/>If an element of Y is real, the corresponding element of R is the least integer greater than or equal to the value of Y. <br/>If an element of Y is complex, the corresponding element of R depends on the relationship between the real and imaginary parts of the numbers in Y.<br/>For further explanation, see Floor.<br/>⎕CT is an implied argument of Ceiling. ",⌈
⌈,"Ceiling is defined in terms of Floor as ⌈Y←→-⌊-Y<br/>Y must be numeric.<br/>If an element of Y is real, the corresponding element of R is the least integer greater than or equal to the value of Y. <br/>If an element of Y is complex, the corresponding element of R depends on the relationship between the real and imaginary parts of the numbers in Y.<br/>For further explanation, see Floor.<br/>⎕CT is an implied argument of Ceiling. "
Ceiling,"Ceiling is defined in terms of Floor as ⌈Y←→-⌊-Y<br/>Y must be numeric.<br/>If an element of Y is real, the corresponding element of R is the least integer greater than or equal to the value of Y. <br/>If an element of Y is complex, the corresponding element of R depends on the relationship between the real and imaginary parts of the numbers in Y.<br/>For further explanation, see Floor.<br/>⎕CT is an implied argument of Ceiling. "
"Ceiling is defined in terms of Floor as ⌈Y←→-⌊-Y<br/>Y must be numeric.<br/>If an element of Y is real, the corresponding element of R is the least integer greater than or equal to the value of Y. <br/>If an element of Y is complex, the corresponding element of R depends on the relationship between the real and imaginary parts of the numbers in Y.<br/>For further explanation, see Floor.<br/>⎕CT is an implied argument of Ceiling. ",Ceiling
Dyadic: Maximum,⌈
Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the larger of the numbers X and Y.,⌈
⌈,Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the larger of the numbers X and Y.
Maximum,Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the larger of the numbers X and Y.
Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the larger of the numbers X and Y.,Maximum
⌈,Upstile<br/>Monadic: Ceiling<br/>Dyadic: Maximum
Downstile,⌊
Monadic: Floor,⌊
"Y must be numeric.<br/>For real numbers, R is the largest integer value less than or equal to Y within the comparison tolerance ⎕CT.<br/>For complex numbers, R depends on the relationship between the real and imaginary parts of the numbers in Y.<br/>The following (deliberately) simple function illustrates one way to express the rules for evaluating complex Floor.<br/>⎕CT and ⎕DCT are  implicit arguments of Floor.",⌊
⌊,"Y must be numeric.<br/>For real numbers, R is the largest integer value less than or equal to Y within the comparison tolerance ⎕CT.<br/>For complex numbers, R depends on the relationship between the real and imaginary parts of the numbers in Y.<br/>The following (deliberately) simple function illustrates one way to express the rules for evaluating complex Floor.<br/>⎕CT and ⎕DCT are  implicit arguments of Floor."
Floor,"Y must be numeric.<br/>For real numbers, R is the largest integer value less than or equal to Y within the comparison tolerance ⎕CT.<br/>For complex numbers, R depends on the relationship between the real and imaginary parts of the numbers in Y.<br/>The following (deliberately) simple function illustrates one way to express the rules for evaluating complex Floor.<br/>⎕CT and ⎕DCT are  implicit arguments of Floor."
"Y must be numeric.<br/>For real numbers, R is the largest integer value less than or equal to Y within the comparison tolerance ⎕CT.<br/>For complex numbers, R depends on the relationship between the real and imaginary parts of the numbers in Y.<br/>The following (deliberately) simple function illustrates one way to express the rules for evaluating complex Floor.<br/>⎕CT and ⎕DCT are  implicit arguments of Floor.",Floor
Dyadic: Minimum,⌊
Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the smaller of X and Y.,⌊
⌊,Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the smaller of X and Y.
Minimum,Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the smaller of X and Y.
Y may be any numeric array.  X may be any numeric array.  R is numeric.  R is the smaller of X and Y.,Minimum
⌊,Downstile<br/>Monadic: Floor<br/>Dyadic: Minimum
Star,*
Monadic: Exponential,*
"Y must be numeric. R is numeric and is the Yth power of e, the base of natural logarithms.",*
*,"Y must be numeric. R is numeric and is the Yth power of e, the base of natural logarithms."
Exponential,"Y must be numeric. R is numeric and is the Yth power of e, the base of natural logarithms."
"Y must be numeric. R is numeric and is the Yth power of e, the base of natural logarithms.",Exponential
Dyadic: Power,*
"Y must be a numeric array.  X must be a numeric array.  R is numeric.  The value of R is X raised to the power of Y.<br/>If Y is zero, R is defined to be 1.<br/>If X is zero, Y must be non-negative.<br/>In general, X*Y is defined as *Y×⍟X. If X is negative, the result R is likely to be complex.",*
*,"Y must be a numeric array.  X must be a numeric array.  R is numeric.  The value of R is X raised to the power of Y.<br/>If Y is zero, R is defined to be 1.<br/>If X is zero, Y must be non-negative.<br/>In general, X*Y is defined as *Y×⍟X. If X is negative, the result R is likely to be complex."
Power,"Y must be a numeric array.  X must be a numeric array.  R is numeric.  The value of R is X raised to the power of Y.<br/>If Y is zero, R is defined to be 1.<br/>If X is zero, Y must be non-negative.<br/>In general, X*Y is defined as *Y×⍟X. If X is negative, the result R is likely to be complex."
"Y must be a numeric array.  X must be a numeric array.  R is numeric.  The value of R is X raised to the power of Y.<br/>If Y is zero, R is defined to be 1.<br/>If X is zero, Y must be non-negative.<br/>In general, X*Y is defined as *Y×⍟X. If X is negative, the result R is likely to be complex.",Power
*,Star<br/>Monadic: Exponential<br/>Dyadic: Power
Log;Circle Star,⍟
Monadic: Natural Logarithm,⍟
Y must be a numeric array. R is numeric.  R is the natural (or Napierian) logarithm of Y whose base is the mathematical constant e=2.71828....,⍟
⍟,Y must be a numeric array. R is numeric.  R is the natural (or Napierian) logarithm of Y whose base is the mathematical constant e=2.71828....
NaturalLogarithm,⍟
NaturalLogarithm,Y must be a numeric array. R is numeric.  R is the natural (or Napierian) logarithm of Y whose base is the mathematical constant e=2.71828....
Y must be a numeric array. R is numeric.  R is the natural (or Napierian) logarithm of Y whose base is the mathematical constant e=2.71828....,NaturalLogarithm
Dyadic: Logarithm,⍟
X and Y must be numeric arrays. X cannot be 1 unless Y is also 1. R is the base X logarithm of Y.<br/>Note that Logarithm (dyadic ⍟) is defined in terms of Natural Logarithm (monadic ⍟) as:,⍟
⍟,X and Y must be numeric arrays. X cannot be 1 unless Y is also 1. R is the base X logarithm of Y.<br/>Note that Logarithm (dyadic ⍟) is defined in terms of Natural Logarithm (monadic ⍟) as:
Logarithm,X and Y must be numeric arrays. X cannot be 1 unless Y is also 1. R is the base X logarithm of Y.<br/>Note that Logarithm (dyadic ⍟) is defined in terms of Natural Logarithm (monadic ⍟) as:
X and Y must be numeric arrays. X cannot be 1 unless Y is also 1. R is the base X logarithm of Y.<br/>Note that Logarithm (dyadic ⍟) is defined in terms of Natural Logarithm (monadic ⍟) as:,Logarithm
⍟,Log;Circle Star<br/>Monadic: Natural Logarithm<br/>Dyadic: Logarithm
Circle,○
Monadic: Pi Times,○
"Y may be any numeric array. R is numeric. The value of R is the product of the mathematical constant π=3.14159... (Pi), and Y.",○
○,"Y may be any numeric array. R is numeric. The value of R is the product of the mathematical constant π=3.14159... (Pi), and Y."
PiTimes,○
PiTimes,"Y may be any numeric array. R is numeric. The value of R is the product of the mathematical constant π=3.14159... (Pi), and Y."
"Y may be any numeric array. R is numeric. The value of R is the product of the mathematical constant π=3.14159... (Pi), and Y.",PiTimes
Dyadic: Circular Function (Trig),○
"Y must be numeric.  X must be an integer in the range ¯12 ≤ X ≤ 12. R is numeric.<br/>X determines which of a family of trigonometric, hyperbolic, Pythagorean  and complex functions to apply to Y, from the following table. Note that when Y is complex, a and  b are used to represent its real and imaginary parts, while θ represents its phase.",○
○,"Y must be numeric.  X must be an integer in the range ¯12 ≤ X ≤ 12. R is numeric.<br/>X determines which of a family of trigonometric, hyperbolic, Pythagorean  and complex functions to apply to Y, from the following table. Note that when Y is complex, a and  b are used to represent its real and imaginary parts, while θ represents its phase."
Circular,"Y must be numeric.  X must be an integer in the range ¯12 ≤ X ≤ 12. R is numeric.<br/>X determines which of a family of trigonometric, hyperbolic, Pythagorean  and complex functions to apply to Y, from the following table. Note that when Y is complex, a and  b are used to represent its real and imaginary parts, while θ represents its phase."
"Y must be numeric.  X must be an integer in the range ¯12 ≤ X ≤ 12. R is numeric.<br/>X determines which of a family of trigonometric, hyperbolic, Pythagorean  and complex functions to apply to Y, from the following table. Note that when Y is complex, a and  b are used to represent its real and imaginary parts, while θ represents its phase.",Circular
○,Circle<br/>Monadic: Pi Times<br/>Dyadic: Circular Function (Trig)
Exclamation Mark;Quote Dot,!
Monadic: Factorial,!
"Y must be numeric excluding negative integers.  R is numeric.  R is the product of the first Y integers for positive integer values of Y. In general, !Y is gamma Y+1.",!
!,"Y must be numeric excluding negative integers.  R is numeric.  R is the product of the first Y integers for positive integer values of Y. In general, !Y is gamma Y+1."
Factorial,"Y must be numeric excluding negative integers.  R is numeric.  R is the product of the first Y integers for positive integer values of Y. In general, !Y is gamma Y+1."
"Y must be numeric excluding negative integers.  R is numeric.  R is the product of the first Y integers for positive integer values of Y. In general, !Y is gamma Y+1.",Factorial
Dyadic: Binomial,!
"X and Y may be any numbers except that if Y is a negative integer then X must be an integer. R is numeric. An element of R is integer if corresponding elements of X and Y are integers. <br/>Binomial is defined in terms of the function Factorial: <br/>Results are derived smoothly from the Beta function:<br/>For positive integer arguments, R is the number of selections of X things from Y things.",!
!,"X and Y may be any numbers except that if Y is a negative integer then X must be an integer. R is numeric. An element of R is integer if corresponding elements of X and Y are integers. <br/>Binomial is defined in terms of the function Factorial: <br/>Results are derived smoothly from the Beta function:<br/>For positive integer arguments, R is the number of selections of X things from Y things."
Binomial,"X and Y may be any numbers except that if Y is a negative integer then X must be an integer. R is numeric. An element of R is integer if corresponding elements of X and Y are integers. <br/>Binomial is defined in terms of the function Factorial: <br/>Results are derived smoothly from the Beta function:<br/>For positive integer arguments, R is the number of selections of X things from Y things."
"X and Y may be any numbers except that if Y is a negative integer then X must be an integer. R is numeric. An element of R is integer if corresponding elements of X and Y are integers. <br/>Binomial is defined in terms of the function Factorial: <br/>Results are derived smoothly from the Beta function:<br/>For positive integer arguments, R is the number of selections of X things from Y things.",Binomial
!,Exclamation Mark;Quote Dot<br/>Monadic: Factorial<br/>Dyadic: Binomial
Question Mark;Query,?
Monadic: Roll,?
"Y may be any non-negative integer array. R has the same shape as Y at each depth.<br/>For each positive element of Y the corresponding element of R is an integer, pseudo-randomly selected from the integers ⍳Y with each integer in this population having an equal chance of being selected.<br/>For each zero element of Y, the corresponding element of R is a pseudo-random floating-point value in the range 0 - 1, but excluding 0 and 1, i.e. (0<R[I]<1).<br/>⎕IO and ⎕RL are implicit arguments of Roll. A side effect of Roll is to change the value of ⎕RL. <br/>Note that different random number generators are available; see ⎕RL for more information.",?
?,"Y may be any non-negative integer array. R has the same shape as Y at each depth.<br/>For each positive element of Y the corresponding element of R is an integer, pseudo-randomly selected from the integers ⍳Y with each integer in this population having an equal chance of being selected.<br/>For each zero element of Y, the corresponding element of R is a pseudo-random floating-point value in the range 0 - 1, but excluding 0 and 1, i.e. (0<R[I]<1).<br/>⎕IO and ⎕RL are implicit arguments of Roll. A side effect of Roll is to change the value of ⎕RL. <br/>Note that different random number generators are available; see ⎕RL for more information."
Roll,"Y may be any non-negative integer array. R has the same shape as Y at each depth.<br/>For each positive element of Y the corresponding element of R is an integer, pseudo-randomly selected from the integers ⍳Y with each integer in this population having an equal chance of being selected.<br/>For each zero element of Y, the corresponding element of R is a pseudo-random floating-point value in the range 0 - 1, but excluding 0 and 1, i.e. (0<R[I]<1).<br/>⎕IO and ⎕RL are implicit arguments of Roll. A side effect of Roll is to change the value of ⎕RL. <br/>Note that different random number generators are available; see ⎕RL for more information."
"Y may be any non-negative integer array. R has the same shape as Y at each depth.<br/>For each positive element of Y the corresponding element of R is an integer, pseudo-randomly selected from the integers ⍳Y with each integer in this population having an equal chance of being selected.<br/>For each zero element of Y, the corresponding element of R is a pseudo-random floating-point value in the range 0 - 1, but excluding 0 and 1, i.e. (0<R[I]<1).<br/>⎕IO and ⎕RL are implicit arguments of Roll. A side effect of Roll is to change the value of ⎕RL. <br/>Note that different random number generators are available; see ⎕RL for more information.",Roll
Dyadic: Deal,?
Y must be a simple scalar or 1-element vector containing a non-negative integer. X must be a simple scalar or 1-element vector containing a non-negative integer and X≤Y.<br/>R is an integer  vector obtained by making X random selections from ⍳Y without repetition. <br/>⎕IO and ⎕RL are implicit arguments of Deal. A side effect of Deal is to change the value of ⎕RL. See Random Number Seed.,?
?,Y must be a simple scalar or 1-element vector containing a non-negative integer. X must be a simple scalar or 1-element vector containing a non-negative integer and X≤Y.<br/>R is an integer  vector obtained by making X random selections from ⍳Y without repetition. <br/>⎕IO and ⎕RL are implicit arguments of Deal. A side effect of Deal is to change the value of ⎕RL. See Random Number Seed.
Deal,Y must be a simple scalar or 1-element vector containing a non-negative integer. X must be a simple scalar or 1-element vector containing a non-negative integer and X≤Y.<br/>R is an integer  vector obtained by making X random selections from ⍳Y without repetition. <br/>⎕IO and ⎕RL are implicit arguments of Deal. A side effect of Deal is to change the value of ⎕RL. See Random Number Seed.
Y must be a simple scalar or 1-element vector containing a non-negative integer. X must be a simple scalar or 1-element vector containing a non-negative integer and X≤Y.<br/>R is an integer  vector obtained by making X random selections from ⍳Y without repetition. <br/>⎕IO and ⎕RL are implicit arguments of Deal. A side effect of Deal is to change the value of ⎕RL. See Random Number Seed.,Deal
?,Question Mark;Query<br/>Monadic: Roll<br/>Dyadic: Deal
Tilde,~
Monadic: Not,~
"Y must be a Boolean array.  R is Boolean.  The value of R is 0 if Y is 1, and R is 1 if Y is 0.",~
~,"Y must be a Boolean array.  R is Boolean.  The value of R is 0 if Y is 1, and R is 1 if Y is 0."
Not,"Y must be a Boolean array.  R is Boolean.  The value of R is 0 if Y is 1, and R is 1 if Y is 0."
"Y must be a Boolean array.  R is Boolean.  The value of R is 0 if Y is 1, and R is 1 if Y is 0.",Not
Dyadic: Without;Excluding,~
"X must be a scalar or vector.  R is a vector of the elements of X excluding those elements which occur in Y taken in the order in which they occur in X.<br/>Elements of X and Y are considered the same if X≡Y returns 1 for those elements.<br/>⎕CT and ⎕DCT are  implicit arguments of Excluding. Excluding is also known as Without.<br/>For performance information, see Search Functions and Hash Tables.",~
~,"X must be a scalar or vector.  R is a vector of the elements of X excluding those elements which occur in Y taken in the order in which they occur in X.<br/>Elements of X and Y are considered the same if X≡Y returns 1 for those elements.<br/>⎕CT and ⎕DCT are  implicit arguments of Excluding. Excluding is also known as Without.<br/>For performance information, see Search Functions and Hash Tables."
Excluding,"X must be a scalar or vector.  R is a vector of the elements of X excluding those elements which occur in Y taken in the order in which they occur in X.<br/>Elements of X and Y are considered the same if X≡Y returns 1 for those elements.<br/>⎕CT and ⎕DCT are  implicit arguments of Excluding. Excluding is also known as Without.<br/>For performance information, see Search Functions and Hash Tables."
"X must be a scalar or vector.  R is a vector of the elements of X excluding those elements which occur in Y taken in the order in which they occur in X.<br/>Elements of X and Y are considered the same if X≡Y returns 1 for those elements.<br/>⎕CT and ⎕DCT are  implicit arguments of Excluding. Excluding is also known as Without.<br/>For performance information, see Search Functions and Hash Tables.",Excluding
~,Tilde<br/>Monadic: Not<br/>Dyadic: Without;Excluding
Logical AND,∧
Dyadic: Lowest Common Multiple (AND),∧
"R is Boolean is determined as follows:<br/>Note that the ASCII caret (^) will also be interpreted as an APL And (^).<br/>R is the lowest common multiple of X and Y. Note that in this case, ⎕CT and ⎕DCT are implicit arguments.",∧
∧,"R is Boolean is determined as follows:<br/>Note that the ASCII caret (^) will also be interpreted as an APL And (^).<br/>R is the lowest common multiple of X and Y. Note that in this case, ⎕CT and ⎕DCT are implicit arguments."
AndLowestCommonMultiple,∧
AndLowestCommonMultiple,"R is Boolean is determined as follows:<br/>Note that the ASCII caret (^) will also be interpreted as an APL And (^).<br/>R is the lowest common multiple of X and Y. Note that in this case, ⎕CT and ⎕DCT are implicit arguments."
"R is Boolean is determined as follows:<br/>Note that the ASCII caret (^) will also be interpreted as an APL And (^).<br/>R is the lowest common multiple of X and Y. Note that in this case, ⎕CT and ⎕DCT are implicit arguments.",AndLowestCommonMultiple
∧,Logical AND<br/>Dyadic: Lowest Common Multiple (AND)
Logical Or,∨
Dyadic: Greatest Common Divisor (Or),∨
" R is Boolean and is determined as follows:<br/>R is the Greatest Common Divisor of X and Y. Note that in this case, ⎕CT and ⎕DCT are implicit arguments.",∨
∨," R is Boolean and is determined as follows:<br/>R is the Greatest Common Divisor of X and Y. Note that in this case, ⎕CT and ⎕DCT are implicit arguments."
OrGCD,∨
OrGCD," R is Boolean and is determined as follows:<br/>R is the Greatest Common Divisor of X and Y. Note that in this case, ⎕CT and ⎕DCT are implicit arguments."
" R is Boolean and is determined as follows:<br/>R is the Greatest Common Divisor of X and Y. Note that in this case, ⎕CT and ⎕DCT are implicit arguments.",OrGCD
∨,Logical Or<br/>Dyadic: Greatest Common Divisor (Or)
Logical NAND,⍲
Dyadic: NAND,⍲
"Y must be a Boolean array.  X must be a Boolean array.  R is Boolean.  The value of R is the truth value of the proposition ""not both X and Y"", and is determined as follows:",⍲
⍲,"Y must be a Boolean array.  X must be a Boolean array.  R is Boolean.  The value of R is the truth value of the proposition ""not both X and Y"", and is determined as follows:"
Nand,⍲
Nand,"Y must be a Boolean array.  X must be a Boolean array.  R is Boolean.  The value of R is the truth value of the proposition ""not both X and Y"", and is determined as follows:"
"Y must be a Boolean array.  X must be a Boolean array.  R is Boolean.  The value of R is the truth value of the proposition ""not both X and Y"", and is determined as follows:",Nand
⍲,Logical NAND<br/>Dyadic: NAND
Logical NOR,⍱
Dyadic: NOR,⍱
"Y must be a Boolean array.  X must be a Boolean array.  R is Boolean.  The value of R is the truth value of the proposition ""neither X nor Y"", and is determined as follows:",⍱
⍱,"Y must be a Boolean array.  X must be a Boolean array.  R is Boolean.  The value of R is the truth value of the proposition ""neither X nor Y"", and is determined as follows:"
Nor,⍱
Nor,"Y must be a Boolean array.  X must be a Boolean array.  R is Boolean.  The value of R is the truth value of the proposition ""neither X nor Y"", and is determined as follows:"
"Y must be a Boolean array.  X must be a Boolean array.  R is Boolean.  The value of R is the truth value of the proposition ""neither X nor Y"", and is determined as follows:",Nor
⍱,Logical NOR<br/>Dyadic: NOR
Less Than Sign,<
Dyadic: Less Than,<
Y may be any numeric array.  X may be any numeric array.  R is Boolean.  R is 1 if X is less than Y and X=Y is 0.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Less.,<
<,Y may be any numeric array.  X may be any numeric array.  R is Boolean.  R is 1 if X is less than Y and X=Y is 0.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Less.
Less,Y may be any numeric array.  X may be any numeric array.  R is Boolean.  R is 1 if X is less than Y and X=Y is 0.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Less.
Y may be any numeric array.  X may be any numeric array.  R is Boolean.  R is 1 if X is less than Y and X=Y is 0.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Less.,Less
